Freq.	V(V1,V2)/I(R2)
Step Information: V=10p  (Run: 1/9)
3.91671671671671e+004	(7.63613050701810e+001dB,9.74386006287888e+001°)
3.91811811811811e+004	(7.63166683707405e+001dB,9.76268253456659e+001°)
3.91951951951951e+004	(7.62712233627756e+001dB,9.78221093303724e+001°)
3.92092092092092e+004	(7.62249531282727e+001dB,9.80247982353788e+001°)
3.92232232232232e+004	(7.61778408630629e+001dB,9.82352581247912e+001°)
3.92372372372372e+004	(7.61298699637863e+001dB,9.84538768340293e+001°)
3.92512512512512e+004	(7.60810241287938e+001dB,9.86810654234466e+001°)
3.92652652652652e+004	(7.60312874749514e+001dB,9.89172597315871e+001°)
3.92792792792792e+004	(7.59806446725518e+001dB,9.91629220335296e+001°)
3.92932932932932e+004	(7.59290811008719e+001dB,9.94185428099663e+001°)
3.93073073073073e+004	(7.58765830272333e+001dB,9.96846426322747e+001°)
3.93213213213213e+004	(7.58231378128183e+001dB,9.99617741684751e+001°)
3.93353353353353e+004	(7.57687341489371e+001dB,1.00250524314479e+002°)
3.93493493493493e+004	(7.57133623279209e+001dB,1.00551516454017e+002°)
3.93633633633633e+004	(7.56570145533839e+001dB,1.00865412849579e+002°)
3.93773773773773e+004	(7.55996852952005e+001dB,1.01192917164891e+002°)
3.93913913913913e+004	(7.55413716952390e+001dB,1.01534777117338e+002°)
3.94054054054054e+004	(7.54820740306839e+001dB,1.01891787256057e+002°)
3.94194194194194e+004	(7.54217962425728e+001dB,1.02264791857320e+002°)
3.94334334334334e+004	(7.53605465381620e+001dB,1.02654687924613e+002°)
3.94474474474474e+004	(7.52983380767159e+001dB,1.03062428274615e+002°)
3.94614614614614e+004	(7.52351897493832e+001dB,1.03489024682758e+002°)
3.94754754754754e+004	(7.51711270650280e+001dB,1.03935551053074e+002°)
3.94894894894894e+004	(7.51061831550462e+001dB,1.04403146565329e+002°)
3.95035035035035e+004	(7.50403999114069e+001dB,1.04893018738281e+002°)
3.95175175175175e+004	(7.49738292734192e+001dB,1.05406446331025e+002°)
3.95315315315315e+004	(7.49065346797437e+001dB,1.05944781982968e+002°)
3.95455455455455e+004	(7.48385927032079e+001dB,1.06509454468323e+002°)
3.95595595595595e+004	(7.47700948865051e+001dB,1.07101970410206e+002°)
3.95735735735735e+004	(7.47011497971922e+001dB,1.07723915264373e+002°)
3.95875875875875e+004	(7.46318853197920e+001dB,1.08376953339891e+002°)
3.96016016016015e+004	(7.45624512014853e+001dB,1.09062826575547e+002°)
3.96156156156156e+004	(7.44930218651911e+001dB,1.09783351734739e+002°)
