Freq.	V(V1,V2)/I(R2)
Step Information: Cs=200p  (Run: 1/21)
4.02462462462462e+004	(7.70962669860897e+001dB,-1.79592470082793e+002°)
4.02602602602602e+004	(7.72149145880206e+001dB,-1.78690434544717e+002°)
4.02742742742742e+004	(7.73363291748200e+001dB,-1.77805554168238e+002°)
4.02882882882882e+004	(7.74603957194350e+001dB,-1.76938202900549e+002°)
4.03023023023022e+004	(7.75869993738495e+001dB,-1.76088706839266e+002°)
4.03163163163163e+004	(7.77160259730674e+001dB,-1.75257345927937e+002°)
4.03303303303303e+004	(7.78473624964814e+001dB,-1.74444355864893e+002°)
4.03443443443443e+004	(7.79808974856118e+001dB,-1.73649930186664e+002°)
4.03583583583583e+004	(7.81165214178929e+001dB,-1.72874222488476e+002°)
4.03723723723723e+004	(7.82541270368802e+001dB,-1.72117348746772e+002°)
4.03863863863863e+004	(7.83936096398030e+001dB,-1.71379389711134e+002°)
4.04004004004003e+004	(7.85348673238593e+001dB,-1.70660393335694e+002°)
4.04144144144144e+004	(7.86778011930390e+001dB,-1.69960377223152e+002°)
4.04284284284284e+004	(7.88223155275754e+001dB,-1.69279331057608e+002°)
4.04424424424424e+004	(7.89683179183401e+001dB,-1.68617219005298e+002°)
4.04564564564564e+004	(7.91157193686621e+001dB,-1.67973982065539e+002°)
4.04704704704704e+004	(7.92644343661531e+001dB,-1.67349540356892e+002°)
4.04844844844844e+004	(7.94143809271150e+001dB,-1.66743795326100e+002°)
4.04984984984984e+004	(7.95654806161747e+001dB,-1.66156631870366e+002°)
4.05125125125124e+004	(7.97176585436555e+001dB,-1.65587920365181e+002°)
4.05265265265265e+004	(7.98708433431777e+001dB,-1.65037518592541e+002°)
4.05405405405405e+004	(8.00249671318391e+001dB,-1.64505273565887e+002°)
4.05545545545545e+004	(8.01799654552128e+001dB,-1.63991023249864e+002°)
4.05685685685685e+004	(8.03357772192621e+001dB,-1.63494598174516e+002°)
4.05825825825825e+004	(8.04923446111148e+001dB,-1.63015822944455e+002°)
4.05965965965965e+004	(8.06496130104825e+001dB,-1.62554517644740e+002°)
4.06106106106105e+004	(8.08075308933857e+001dB,-1.62110499146209e+002°)
4.06246246246246e+004	(8.09660497296391e+001dB,-1.61683582313149e+002°)
4.06386386386386e+004	(8.11251238754571e+001dB,-1.61273581117353e+002°)
4.06526526526526e+004	(8.12847104623591e+001dB,-1.60880309662578e+002°)
4.06666666666666e+004	(8.14447692834216e+001dB,-1.60503583123745e+002°)
4.06806806806806e+004	(8.16052626778172e+001dB,-1.60143218605732e+002°)
4.06946946946946e+004	(8.17661554144244e+001dB,-1.59799035926174e+002°)
4.07087087087086e+004	(8.19274145752124e+001dB,-1.59470858327305e+002°)
4.07227227227227e+004	(8.20890094389736e+001dB,-1.59158513121292e+002°)
4.07367367367367e+004	(8.22509113659103e+001dB,-1.58861832273951e+002°)
4.07507507507507e+004	(8.24130936834589e+001dB,-1.58580652931037e+002°)
4.07647647647647e+004	(8.25755315736980e+001dB,-1.58314817891797e+002°)
